Length,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z
  -0.15,   0.67,   0.24,   0.31,-0.69, 0.72, 0.10
  -0.82,   0.55,  -0.24,   0.00,-0.69, 0.72, 0.12
  -3.56,   0.61,  -0.06,   0.12,-0.69, 0.71, 0.12
  -7.57,   0.43,  -0.06,   0.00,-0.69, 0.72, 0.12
 -14.39,  -0.24,   0.31,   0.06,-0.69, 0.72, 0.11
 -22.03,  -0.12,   0.61,   0.73,-0.69, 0.72, 0.11
 -31.30,  -0.37,   0.24,   0.55,-0.69, 0.71, 0.11
 -39.39,   0.43,  -0.18,   0.12,-0.69, 0.72, 0.10
 -50.15,   0.85,  -0.18,  -0.06,-0.69, 0.72, 0.10
 -61.20,  -0.85,   0.79,   0.24,-0.69, 0.72, 0.09
 -72.25,   0.37,  -0.12,   0.18,-0.69, 0.72, 0.11
 -85.23,  -0.12,   0.67,   0.31,-0.69, 0.72, 0.10
 -96.21,  -0.55,   0.61,  -0.18,-0.69, 0.72, 0.11
-110.31,  -0.67,   0.18,   0.06,-0.69, 0.72, 0.11
-123.44,  -0.18,  -1.10,   0.00,-0.69, 0.71, 0.10
-136.49,  -0.06,  -0.18,   0.18,-0.69, 0.72, 0.11
-149.70,   0.12,   0.18,  -0.43,-0.69, 0.72, 0.09
-159.86,  -0.12,  -0.55,   0.37,-0.69, 0.72, 0.10
-172.25,  -0.43,   0.67,  -0.12,-0.69, 0.73, 0.10
-184.86,   0.37,   0.24,  -0.06,-0.68, 0.72, 0.10
-198.81,  -0.31,  -0.49,  -0.24,-0.68, 0.72, 0.10
-210.38,   0.00,  -0.37,   0.12,-0.69, 0.72, 0.10
-223.58,   2.13,  -1.65,   0.18,-0.68, 0.72, 0.08
-235.90,   0.00,   0.06,  -0.18,-0.69, 0.72, 0.11
-248.81,   0.49,  -0.18,   0.61,-0.69, 0.72, 0.10
-262.38,  -0.55,   1.04,   0.24,-0.69, 0.73, 0.09
-276.18,   0.06,   0.37,  -0.12,-0.69, 0.72, 0.11
-290.12,   0.06,   0.12,   0.37,-0.69, 0.73, 0.09
-301.99,   1.59,  -0.85,  -0.55,-0.68, 0.72, 0.09
-316.46,   0.61,   0.06,  -0.18,-0.69, 0.72, 0.09
-328.33,  -0.37,   0.06,   0.00,-0.69, 0.72, 0.10
-342.79,   0.06,  -0.31,   0.18,-0.69, 0.72, 0.09
-354.89,   0.00,  -1.16,   0.24,-0.68, 0.72, 0.08
-365.86,  -0.43,  -0.92,  -0.37,-0.69, 0.72, 0.09
-376.77,  -1.04,   0.67,   0.18,-0.69, 0.72, 0.10
-387.90,  -0.37,  -0.31,   0.12,-0.69, 0.72, 0.11
-398.28,   0.37,  -0.61,   0.06,-0.69, 0.72, 0.10
-408.52,   0.49,  -0.67,  -0.31,-0.68, 0.72, 0.10
-420.54,   0.37,  -0.31,  -0.06,-0.69, 0.73, 0.09
-429.51,   0.31,  -0.06,   0.37,-0.69, 0.72, 0.09
-438.04,   0.06,   0.18,   0.18,-0.69, 0.73, 0.07
