Length,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z
  -0.52,   1.34,  -0.06,   0.00,-0.69, 0.71, 0.11
  -1.78,   3.17,  -0.49,  -0.18,-0.69, 0.71, 0.11
  -3.41,   0.12,   0.06,  -0.06,-0.69, 0.72, 0.11
  -5.71,   0.37,  -0.55,  -0.37,-0.70, 0.72, 0.10
  -8.38,   1.71,  -0.24,  -0.24,-0.69, 0.71, 0.10
 -11.79,   0.37,   0.00,  -0.06,-0.69, 0.72, 0.10
 -15.73,  -0.24,   0.00,  -0.06,-0.70, 0.72, 0.10
 -20.25,  -0.18,   0.06,   0.18,-0.69, 0.71, 0.11
 -26.85,  -0.06,   0.18,   0.24,-0.69, 0.71, 0.11
 -33.46,  -0.18,   0.18,  -0.12,-0.69, 0.71, 0.11
 -41.54,   0.37,   0.00,   0.24,-0.69, 0.71, 0.11
 -50.89,   1.40,  -0.49,  -0.55,-0.69, 0.72, 0.10
 -60.01,  -0.61,   0.92,   0.37,-0.69, 0.71, 0.10
 -68.69,  -0.06,   1.34,   0.92,-0.69, 0.71, 0.11
 -77.74,   1.34,   0.12,  -0.24,-0.69, 0.72, 0.10
 -86.94,   0.79,   0.00,   0.06,-0.69, 0.72, 0.11
 -97.77,  -0.98,   0.79,  -0.12,-0.69, 0.72, 0.09
-105.93,   0.67,  -0.61,  -0.24,-0.69, 0.72, 0.10
-116.32,  -0.37,   0.24,   0.24,-0.69, 0.72, 0.10
-126.93,   0.06,   0.67,   0.85,-0.69, 0.72, 0.10
-138.57,   3.48,  -0.92,  -0.92,-0.69, 0.72, 0.12
-152.15,   0.49,  -0.12,   0.12,-0.69, 0.72, 0.10
-166.24,  -0.55,   1.46,   0.18,-0.69, 0.72, 0.09
-180.11,   0.18,   0.12,   0.06,-0.69, 0.72, 0.09
-193.32,   0.06,   0.00,   0.00,-0.69, 0.72, 0.09
-206.00,  -0.49,   0.06,   0.12,-0.69, 0.72, 0.10
-219.80,  -0.49,   0.12,   0.43,-0.69, 0.72, 0.10
-232.19,   0.55,  -0.79,  -0.55,-0.69, 0.72, 0.09
-245.99,  -0.67,   0.24,   0.61,-0.69, 0.72, 0.10
-259.78,  -0.61,   0.31,  -0.12,-0.69, 0.72, 0.09
-273.73,   0.18,  -0.12,  -0.61,-0.69, 0.72, 0.10
-287.68,  -0.06,  -0.12,   0.12,-0.69, 0.72, 0.09
-301.85,   0.55,  -0.55,  -0.92,-0.69, 0.72, 0.09
-316.31,   0.55,   0.12,  -0.24,-0.69, 0.71, 0.09
-332.78,  -0.73,   0.12,   0.37,-0.69, 0.72, 0.09
-347.62,  -0.37,   1.77,   0.24,-0.69, 0.73, 0.08
-361.41,   0.12,   0.67,   0.12,-0.69, 0.72, 0.08
-371.58,   0.43,  -0.67,  -0.31,-0.69, 0.72, 0.08
-382.93,  -0.06,   0.06,   0.06,-0.69, 0.72, 0.08
-393.09,  -0.43,   1.04,   0.18,-0.69, 0.72, 0.08
-401.99,  -0.18,  -0.73,  -0.55,-0.69, 0.72, 0.08
-409.11,  -1.04,   1.16,   0.12,-0.69, 0.72, 0.08
-414.75,  -0.85,   0.37,   0.24,-0.69, 0.72, 0.09
-420.54,   0.61,  -0.31,   0.12,-0.69, 0.72, 0.10
-425.14,   0.12,   0.55,   0.18,-0.69, 0.72, 0.09
-429.44,  -0.79,   0.12,   0.12,-0.69, 0.72, 0.09
-433.07,  -0.18,   1.28,   0.18,-0.69, 0.72, 0.09
-435.82,   0.79,  -0.24,  -0.12,-0.69, 0.72, 0.09
-438.12,   0.06,   0.24,   0.24,-0.69, 0.72, 0.09
-440.05,  -0.92,  -1.46,  -0.18,-0.69, 0.72, 0.11
-441.08,  -0.06,   0.12,   0.24,-0.69, 0.72, 0.10
