Length,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z
   1.41,  -1.28,   0.79,   0.18,-0.69, 0.72, 0.09
   3.71,  -0.24,  -0.18,  -0.24,-0.69, 0.72, 0.10
   6.82,   0.85,  -0.24,  -0.12,-0.69, 0.72, 0.09
  11.28,   0.00,   0.43,   0.12,-0.69, 0.72, 0.09
  15.80,  -0.98,  -0.06,  -0.24,-0.69, 0.72, 0.11
  21.36,  -0.98,   0.37,  -0.12,-0.69, 0.72, 0.09
  27.67,  -0.49,   0.92,   0.12,-0.69, 0.72, 0.09
  35.90,  -1.22,   0.12,   0.43,-0.69, 0.72, 0.09
  43.69,  -0.31,   0.85,   0.12,-0.69, 0.72, 0.09
  54.38,  -0.92,   0.00,   0.37,-0.69, 0.72, 0.11
  64.46,  -0.73,   0.12,  -0.31,-0.69, 0.72, 0.11
  74.85,   1.22,  -0.12,  -0.06,-0.69, 0.72, 0.10
  85.01,  -1.65,   0.00,   0.43,-0.69, 0.72, 0.11
  93.84,  -0.92,   0.00,  -0.31,-0.69, 0.72, 0.10
 105.34,  -0.18,   0.12,  -0.31,-0.69, 0.72, 0.11
 117.13,   0.73,   0.49,   0.00,-0.69, 0.72, 0.11
 129.82,  -0.43,   0.12,   0.12,-0.69, 0.72, 0.10
 140.35,   0.00,   0.00,  -0.24,-0.69, 0.72, 0.10
 153.63,  -1.65,  -0.31,  -0.18,-0.69, 0.72, 0.10
 164.83,   0.49,  -0.24,  -0.12,-0.69, 0.72, 0.10
 177.67,   0.31,   1.83,   0.00,-0.69, 0.72, 0.10
 191.83,   0.00,   1.89,   0.55,-0.69, 0.72, 0.09
 206.15,   0.73,   0.61,  -0.12,-0.69, 0.72, 0.10
 220.91,   1.52,   0.00,  -0.37,-0.68, 0.72, 0.10
 235.30,  -0.12,   0.55,   0.61,-0.69, 0.72, 0.11
 247.92,   1.04,   0.18,  -0.12,-0.69, 0.72, 0.10
 258.82,  -1.52,   0.12,   0.67,-0.69, 0.72, 0.11
 272.32,  -0.43,  -0.06,  -0.18,-0.69, 0.72, 0.10
 284.64,  -0.43,  -0.85,  -0.37,-0.69, 0.72, 0.10
 298.06,   0.18,   0.37,   0.12,-0.69, 0.72, 0.10
 311.42,  -0.55,   1.59,   0.00,-0.69, 0.72, 0.12
 324.10,   0.61,  -0.37,   0.06,-0.69, 0.71, 0.12
 334.86,  -1.04,   1.16,  -0.06,-0.69, 0.72, 0.12
 346.58,   0.00,  -0.49,   0.37,-0.69, 0.72, 0.11
 357.48,   0.79,   0.06,  -0.18,-0.69, 0.72, 0.11
 366.75,  -1.83,   0.06,   0.49,-0.69, 0.72, 0.09
 378.99,  -0.18,   0.79,  -0.06,-0.69, 0.72, 0.10
 390.34,  -0.49,  -1.40,   0.00,-0.69, 0.72, 0.11
 400.88,   0.24,   0.92,   0.06,-0.69, 0.72, 0.12
 410.30,  -0.06,  -0.55,   0.12,-0.69, 0.72, 0.11
 418.68,  -1.40,  -0.92,  -0.06,-0.69, 0.72, 0.10
 426.10,  -1.16,   0.49,  -0.06,-0.69, 0.72, 0.10
 434.11,  -2.38,  -1.52,  -0.24,-0.69, 0.72, 0.13
 438.34,  -1.22,   0.67,   0.37,-0.69, 0.71, 0.13
 441.60,  -0.06,   0.18,  -0.06,-0.69, 0.72, 0.12
 443.16,   0.00,  -0.67,  -0.43,-0.68, 0.71, 0.12
