Length,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z
  -2.67,   0.67,  -0.31,   0.49,-0.69, 0.72, 0.11
  -6.90,   0.61,  -0.31,   0.06,-0.69, 0.72, 0.11
 -12.46,   0.18,   0.06,   0.06,-0.69, 0.72, 0.11
 -17.51,  -0.18,   0.49,  -0.06,-0.69, 0.72, 0.11
 -25.22,   0.31,   0.00,   0.06,-0.69, 0.72, 0.10
 -32.27,   0.12,   0.55,   0.43,-0.69, 0.72, 0.10
 -39.61,   0.61,   0.61,  -0.06,-0.68, 0.72, 0.10
 -47.33,   0.24,  -0.43,   0.37,-0.68, 0.72, 0.09
 -54.45,   0.12,   0.67,  -0.06,-0.69, 0.72, 0.10
 -62.76,  -0.12,  -0.06,  -0.18,-0.69, 0.72, 0.11
 -70.10,   0.18,  -0.18,  -0.12,-0.69, 0.72, 0.10
 -78.86,   0.18,   0.18,   0.31,-0.69, 0.72, 0.10
 -88.72,   0.24,  -0.79,  -0.49,-0.69, 0.73, 0.10
 -99.55,  -0.12,   0.73,  -0.12,-0.69, 0.72, 0.09
-109.49,  -0.18,   0.61,  -0.18,-0.69, 0.73, 0.09
-121.51,   0.06,  -0.24,   0.31,-0.69, 0.72, 0.10
-132.56,   0.24,   0.73,   0.06,-0.68, 0.72, 0.09
-143.10,   0.31,   0.37,   0.43,-0.69, 0.72, 0.10
-156.75,   0.00,   0.00,   0.06,-0.69, 0.72, 0.09
-168.39,   0.12,   0.18,   0.37,-0.69, 0.72, 0.10
-181.82,   0.18,   0.61,   0.55,-0.69, 0.73, 0.09
-194.65,  -0.12,  -0.98,  -0.43,-0.69, 0.73, 0.09
-207.34,  -0.06,   1.83,   0.79,-0.69, 0.72, 0.10
-220.17,   1.71,   0.61,   0.00,-0.69, 0.72, 0.09
-232.26,   0.12,   0.55,   0.24,-0.69, 0.73, 0.08
-243.17,  -0.37,   0.12,  -0.18,-0.69, 0.73, 0.10
-256.08,  -0.24,   0.18,   0.43,-0.68, 0.72, 0.10
-271.21,  -0.24,   0.37,   0.37,-0.68, 0.72, 0.09
-283.37,  -0.61,   0.06,  -0.12,-0.68, 0.73, 0.09
-296.80,  -0.31,   0.49,   0.37,-0.68, 0.73, 0.08
-309.71,   0.06,   0.55,  -0.31,-0.68, 0.72, 0.10
-323.21,   0.00,   1.22,   0.24,-0.68, 0.72, 0.10
-338.79,  -0.37,   0.12,   0.37,-0.68, 0.72, 0.10
-350.51,  -0.55,  -0.24,   0.31,-0.68, 0.72, 0.09
-365.12,  -0.67,   0.73,   0.31,-0.68, 0.73, 0.08
-378.40,  -0.85,   0.24,  -0.12,-0.68, 0.73, 0.07
-390.94,  -0.12,  -0.12,   0.00,-0.68, 0.72, 0.08
-399.91,  -0.43,  -0.31,  -0.55,-0.68, 0.73, 0.08
-410.15,   0.00,   0.61,   0.00,-0.68, 0.73, 0.08
-418.39,   0.24,   0.18,  -0.24,-0.68, 0.72, 0.09
-426.32,  -0.85,   0.43,   0.18,-0.68, 0.73, 0.09
-433.89,   0.00,   0.43,   0.37,-0.68, 0.73, 0.08
-439.68,   0.06,   0.49,   0.61,-0.68, 0.73, 0.07
