Length,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z
   2.52,   2.99,   0.12,   5.73,-0.40,-0.22, 0.87
   4.82,   4.39,   1.52,   4.57,-0.43,-0.25, 0.88
   7.49,   1.77,   2.56,   2.99,-0.42,-0.23, 0.85
  10.61,  10.92,   1.16,  -0.61,-0.42,-0.24, 0.88
  14.02,  -1.46,   2.44,   0.92,-0.43,-0.22, 0.87
  18.62,  -0.55,   0.37,   0.49,-0.43,-0.21, 0.87
  23.89,   3.84,  -0.55,   0.67,-0.42,-0.20, 0.87
  30.34,   9.52,  -1.10,   5.18,-0.43,-0.17, 0.90
  37.54,   2.74,   1.65,   2.44,-0.45,-0.18, 0.87
  45.33,   3.11,   1.59,   0.67,-0.45,-0.17, 0.87
  52.08,   0.43,   2.38,   2.50,-0.41,-0.17, 0.89
  59.57,   3.66,   2.87,  -0.92,-0.45,-0.20, 0.87
  65.95,  -2.62,  -1.10,  -0.24,-0.46,-0.19, 0.87
  72.85,  -4.39,   7.20,   2.44,-0.45,-0.16, 0.87
  79.67,   1.89,  -1.04,  -2.32,-0.47,-0.18, 0.85
  86.72,   4.88,  -3.60,  -2.68,-0.46,-0.21, 0.87
  93.62,   1.10,   3.84,   2.32,-0.49,-0.22, 0.84
 100.59,  -5.43,   6.41,   4.27,-0.47,-0.19, 0.87
 108.53,  -6.47,  -2.07,   2.32,-0.48,-0.23, 0.84
 112.68,  -3.11,  -3.60,  -0.49,-0.46,-0.22, 0.84
 118.10,   7.44,  -7.75,   0.67,-0.45,-0.21, 0.86
 124.85,   4.27,  -5.98,   2.32,-0.46,-0.23, 0.84
 132.12,   4.15,  -4.27,   1.46,-0.45,-0.22, 0.87
 139.17,  -4.09,   3.90,   1.46,-0.47,-0.25, 0.85
 144.80,   6.53,   2.81,   1.34,-0.49,-0.25, 0.84
 149.55,   0.85,   4.94,  -0.67,-0.45,-0.22, 0.85
 154.45,   1.28,  -2.32,  -2.38,-0.45,-0.22, 0.86
 158.82,  -1.10,   1.22,  -0.06,-0.43,-0.24, 0.88
 161.79,  -9.27,   6.04,   0.73,-0.47,-0.23, 0.84
 164.54,  -3.66,   5.25,   0.18,-0.47,-0.20, 0.86
 167.35,  -1.28,  -0.06,   0.85,-0.47,-0.24, 0.85
 170.17,  -4.70,   2.26,  -1.10,-0.47,-0.19, 0.85
 171.81,  -1.10,  -0.98,  -0.85,-0.46,-0.19, 0.87
 171.95,  -9.09,   2.07,   0.92,-0.47,-0.17, 0.87
 172.10,  -2.93,   3.11,   3.90,-0.47,-0.23, 0.85
 172.84, -12.14,   8.17,   3.78,-0.49,-0.27, 0.84
 172.92, -29.34, -59.29, -14.70,-0.51,-0.30, 1.08
