Length,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z
  -1.04,   0.67,  -0.73,   0.24,-0.68, 0.72, 0.13
  -5.04,  -0.12,   0.67,   0.67,-0.68, 0.72, 0.11
 -11.79,   0.00,   0.24,   0.37,-0.68, 0.72, 0.11
 -18.55,  -0.18,  -0.06,  -0.12,-0.68, 0.72, 0.12
 -26.78,  -0.43,   0.06,  -0.12,-0.68, 0.72, 0.11
 -36.57,  -0.06,   0.24,   0.55,-0.68, 0.72, 0.10
 -46.81,  -0.18,   0.18,  -0.06,-0.68, 0.72, 0.09
 -56.45,  -0.06,   0.06,   0.18,-0.68, 0.73, 0.09
 -66.32,  -0.61,  -0.31,  -0.31,-0.68, 0.73, 0.09
 -76.18,  -0.18,  -0.18,  -0.06,-0.68, 0.72, 0.09
 -85.98,  -0.31,   0.00,   0.06,-0.68, 0.73, 0.09
 -96.66,  -0.37,   0.37,   0.12,-0.68, 0.73, 0.09
-104.82,   0.00,  -0.31,  -0.12,-0.68, 0.72, 0.10
-113.57,   0.00,   0.12,  -0.12,-0.68, 0.73, 0.09
-122.25,  -0.12,   0.06,   0.06,-0.68, 0.73, 0.10
-131.08,   0.18,   0.12,   0.18,-0.68, 0.72, 0.11
-139.46,   0.18,   1.16,   0.37,-0.68, 0.73, 0.11
-149.62,   0.06,   0.24,   0.18,-0.68, 0.72, 0.10
-159.94,   0.00,  -0.18,  -0.18,-0.68, 0.72, 0.10
-169.95,  -0.12,   0.37,   0.31,-0.68, 0.73, 0.11
-181.82,   0.24,   0.37,  -0.31,-0.68, 0.72, 0.10
-192.06,  -0.18,   0.12,   0.43,-0.68, 0.72, 0.10
-203.85,  -0.49,  -0.06,  -0.37,-0.68, 0.73, 0.11
-216.54,  -0.18,   0.00,   0.79,-0.68, 0.72, 0.12
-229.74,   0.06,   1.16,   0.31,-0.68, 0.73, 0.08
-240.87,  -0.31,   0.37,  -0.06,-0.68, 0.73, 0.11
-254.89,  -0.06,  -0.06,   0.06,-0.68, 0.73, 0.11
-266.91,  -0.31,  -0.85,   0.06,-0.68, 0.73, 0.10
-280.70,  -0.49,   0.00,   0.49,-0.68, 0.73, 0.10
-296.28,  -0.73,  -0.55,  -0.43,-0.68, 0.73, 0.11
-309.12,  -0.49,  -0.37,   0.24,-0.68, 0.73, 0.10
-323.58,  -0.73,  -0.67,   0.31,-0.68, 0.73, 0.10
-337.45,  -0.55,  -0.18,  -0.37,-0.68, 0.72, 0.10
-349.99,   0.06,   0.31,   0.37,-0.68, 0.73, 0.09
-361.34,  -0.18,  -0.06,  -0.37,-0.68, 0.73, 0.09
-370.69,  -0.43,  -0.18,  -0.12,-0.68, 0.72, 0.09
-380.18,   0.00,   0.18,  -0.24,-0.68, 0.73, 0.09
-389.38,  -0.37,   0.24,   0.12,-0.68, 0.73, 0.10
-398.36,  -0.06,   0.18,   0.06,-0.68, 0.73, 0.09
-404.29,  -0.43,  -0.31,  -0.24,-0.68, 0.73, 0.09
-410.60,  -0.55,  -0.67,  -0.24,-0.68, 0.73, 0.10
-415.71,   0.49,   0.49,   0.24,-0.68, 0.72, 0.10
-421.43,  -0.79,  -0.85,  -0.37,-0.68, 0.73, 0.09
-426.92,   0.06,   0.18,   0.00,-0.68, 0.72, 0.12
-432.18,  -0.98,  -0.49,  -0.24,-0.68, 0.73, 0.09
-436.41,  -0.06,  -0.18,   0.00,-0.68, 0.73, 0.08
-439.68,   0.06,   0.31,   0.43,-0.68, 0.73, 0.10
-441.75,   1.65,   1.46,  -1.71,-0.69, 0.73, 0.11
