Length,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z
   0.22,  -2.74,   0.06,   0.06,-0.69, 0.72, 0.11
   1.85,  -1.83,   0.92,   0.31,-0.69, 0.72, 0.10
   5.27,  -0.43,   0.12,   0.12,-0.69, 0.72, 0.12
  10.31,  -0.73,   0.49,   0.00,-0.69, 0.72, 0.12
  16.39,  -0.49,   0.73,   0.00,-0.69, 0.72, 0.12
  23.00,   0.00,   0.37,   0.00,-0.69, 0.72, 0.12
  29.01,  -0.73,  -0.49,   0.06,-0.69, 0.72, 0.12
  36.79,   0.67,   0.31,  -0.06,-0.69, 0.72, 0.11
  45.84,  -0.37,   0.06,  -0.12,-0.69, 0.72, 0.12
  55.41,  -0.31,   0.73,   0.18,-0.69, 0.71, 0.13
  65.50,   0.61,   0.37,  -0.12,-0.69, 0.72, 0.12
  76.63,   0.67,  -1.22,   0.37,-0.69, 0.71, 0.13
  88.72,   1.22,  -0.49,  -0.31,-0.69, 0.71, 0.12
 100.96,   0.31,  -0.18,  -0.37,-0.69, 0.72, 0.13
 112.83,   1.04,   0.55,   0.00,-0.69, 0.72, 0.13
 144.28,   1.40,   0.37,  -0.06,-0.69, 0.71, 0.13
 154.52,   1.22,  -0.37,  -0.43,-0.69, 0.71, 0.13
 164.02,  -0.18,  -0.37,   0.18,-0.69, 0.72, 0.13
 174.03,   0.24,   0.37,   0.12,-0.69, 0.72, 0.12
 183.38,   0.06,  -0.85,   0.06,-0.69, 0.72, 0.13
 192.72,   0.24,  -1.22,  -0.73,-0.69, 0.72, 0.12
 202.52,   0.37,   0.85,   0.12,-0.69, 0.72, 0.12
 210.60,   0.61,  -0.61,   0.00,-0.69, 0.72, 0.12
 221.80,   0.31,  -0.67,  -0.37,-0.69, 0.72, 0.11
 232.78,   0.18,   1.34,   0.18,-0.69, 0.71, 0.14
 242.72,  -0.61,   0.55,  -0.12,-0.69, 0.72, 0.12
 253.03,  -0.18,  -0.24,   0.37,-0.69, 0.72, 0.11
 266.16,   0.79,  -0.37,  -0.06,-0.69, 0.71, 0.13
 278.55,   1.59,   1.22,   0.18,-0.69, 0.71, 0.13
 291.16,   0.85,   0.67,  -0.06,-0.69, 0.72, 0.12
 303.85,   0.37,   0.31,  -0.06,-0.69, 0.71, 0.12
 314.09,  -0.49,   0.06,  -0.31,-0.69, 0.72, 0.13
 326.25,  -0.79,  -1.40,  -0.67,-0.69, 0.72, 0.11
 339.08,  -0.79,  -0.61,  -0.06,-0.69, 0.71, 0.13
 352.36,   0.55,   0.49,  -0.06,-0.69, 0.72, 0.13
 363.79,  -0.37,   0.37,   0.24,-0.69, 0.71, 0.13
 374.32,  -0.79,   0.92,   0.06,-0.69, 0.72, 0.13
 384.26,   0.31,  -1.40,  -0.24,-0.69, 0.71, 0.14
 393.02,   0.92,   0.43,  -0.12,-0.69, 0.72, 0.12
 401.84,  -0.49,   0.31,  -0.24,-0.69, 0.72, 0.13
 408.22,   0.43,   0.37,   0.12,-0.69, 0.71, 0.12
 415.79,  -0.67,   0.61,  -0.37,-0.69, 0.71, 0.13
 422.32,  -0.12,   0.18,  -0.24,-0.69, 0.71, 0.13
 428.99,  -0.49,  -0.12,   0.12,-0.69, 0.71, 0.13
 433.74,  -0.49,   0.00,   0.12,-0.69, 0.71, 0.14
 437.67,  -0.06,   0.31,   0.00,-0.69, 0.71, 0.13
 440.79,  -0.49,   0.24,   0.00,-0.69, 0.72, 0.12
 443.01, -12.87,   9.70,   3.05,-0.70, 0.71, 0.13
