Length,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z
   0.67,  -1.34,  -0.12,   0.00,-0.68, 0.73, 0.08
   4.01,   0.37,   0.55,   0.06,-0.68, 0.72, 0.11
   9.12,   0.37,   0.61,  -0.31,-0.68, 0.72, 0.10
  14.39,  -0.18,   0.18,  -0.12,-0.68, 0.72, 0.11
  21.44,  -0.06,   0.00,   0.00,-0.68, 0.72, 0.09
  28.63,  -0.92,  -0.79,   0.12,-0.68, 0.72, 0.11
  37.91,   0.37,   0.73,   0.00,-0.68, 0.72, 0.09
  49.78,  -0.18,  -0.06,   0.61,-0.69, 0.72, 0.10
  61.50,   0.06,   0.73,  -0.06,-0.68, 0.72, 0.10
  73.81,  -0.79,  -1.40,   0.18,-0.68, 0.73, 0.10
  85.16,   0.67,   1.28,  -0.18,-0.69, 0.72, 0.13
  99.03,   0.49,   1.52,   0.49,-0.68, 0.72, 0.12
 110.01,   0.00,   0.12,  -0.18,-0.68, 0.72, 0.10
 123.51,  -0.37,   0.37,   0.73,-0.69, 0.72, 0.13
 135.16,  -0.98,   0.06,  -0.18,-0.68, 0.73, 0.12
 148.44,  -2.20,  -2.01,  -1.28,-0.68, 0.72, 0.11
 160.53,  -0.31,   0.00,   0.18,-0.69, 0.72, 0.14
 173.51,   1.04,   2.13,   0.37,-0.68, 0.72, 0.14
 188.27,   1.10,   1.71,   0.18,-0.68, 0.71, 0.13
 200.14,   0.49,   0.24,  -0.31,-0.68, 0.72, 0.12
 214.24,  -0.31,  -0.55,  -0.24,-0.68, 0.72, 0.11
 226.40,  -0.31,  -0.12,   0.00,-0.69, 0.72, 0.12
 240.65,   0.43,   0.79,  -0.24,-0.69, 0.72, 0.11
 254.30,  -0.31,  -1.59,   0.12,-0.68, 0.73, 0.10
 266.16,   0.18,   0.06,  -0.31,-0.68, 0.72, 0.11
 280.48,  -0.67,  -1.28,  -0.67,-0.69, 0.72, 0.13
 294.35,  -0.06,  -0.79,  -0.18,-0.69, 0.72, 0.14
 308.08,   0.67,   1.46,  -0.12,-0.68, 0.72, 0.13
 319.35,   0.06,   0.43,   0.18,-0.68, 0.72, 0.10
 332.93,   0.00,   0.31,  -0.24,-0.68, 0.72, 0.11
 345.61,  -0.06,   0.06,   0.73,-0.68, 0.72, 0.11
 358.82,   0.24,   0.12,  -0.12,-0.69, 0.73, 0.11
 371.21,  -0.67,  -1.28,  -0.67,-0.68, 0.72, 0.12
 382.56,   0.67,   1.46,   0.06,-0.68, 0.72, 0.13
 391.01,  -0.31,  -0.61,   0.67,-0.68, 0.72, 0.11
 401.62,   0.12,   0.06,  -0.73,-0.68, 0.72, 0.13
 411.86,  -0.18,  -0.12,  -0.55,-0.69, 0.72, 0.13
 419.79,   0.24,   0.98,   0.06,-0.69, 0.72, 0.14
 428.70,  -0.98,  -1.16,  -0.12,-0.68, 0.72, 0.13
 435.45,   0.12,  -0.31,  -0.06,-0.68, 0.71, 0.14
 440.57,   0.43,   0.31,  -0.24,-0.68, 0.72, 0.14
 444.87,   0.49,  -0.06,  -0.12,-0.68, 0.71, 0.13
 445.24,  -0.37,   1.16,   0.31,-0.69, 0.72, 0.12
 445.39,   1.95,   2.50,  -0.06,-0.69, 0.71, 0.12
