Length,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z
   0.15,  -7.87,   1.40,   0.61,-0.69, 0.72, 0.12
   1.34,  -1.59,   0.49,   0.24,-0.69, 0.72, 0.12
   4.08,  -1.59,   0.61,  -0.06,-0.69, 0.72, 0.12
   8.16,  -0.67,   1.10,  -0.06,-0.69, 0.72, 0.13
  12.31,  -1.16,   0.18,  -0.12,-0.69, 0.72, 0.13
  18.77,   0.31,   0.18,   0.00,-0.69, 0.72, 0.12
  27.30,  -0.61,  -0.24,  -0.43,-0.69, 0.71, 0.14
  35.09,   1.89,  -0.73,  -0.37,-0.69, 0.72, 0.13
  45.40,  -0.67,   0.12,   0.49,-0.69, 0.71, 0.13
  55.49,  -0.67,   0.61,   0.00,-0.69, 0.72, 0.13
  66.39,   0.18,   0.18,   0.31,-0.69, 0.71, 0.14
  77.74,   1.04,   0.12,  -0.24,-0.69, 0.72, 0.13
  89.46,   0.06,  -0.06,   0.37,-0.69, 0.72, 0.14
 100.96,   1.46,   0.31,  -0.37,-0.69, 0.71, 0.15
 110.09,  -1.16,   0.24,   0.31,-0.69, 0.71, 0.13
 123.51,  -1.95,   0.61,  -0.12,-0.69, 0.72, 0.13
 135.09,  -1.40,  -0.06,   0.49,-0.69, 0.71, 0.14
 148.51,   0.37,  -0.31,  -0.24,-0.69, 0.71, 0.12
 162.53,  -1.04,  -0.24,  -0.61,-0.69, 0.71, 0.14
 176.70,  -2.32,   0.12,   0.18,-0.69, 0.71, 0.14
 190.94,  -1.22,   0.55,  -0.24,-0.69, 0.72, 0.13
 206.00,  -0.18,  -0.43,  -0.79,-0.69, 0.71, 0.14
 222.03,   2.13,  -0.92,  -0.37,-0.69, 0.72, 0.14
 235.90,  -2.99,   0.73,  -0.24,-0.69, 0.71, 0.15
 249.99,   0.67,  -0.24,  -0.43,-0.69, 0.71, 0.14
 264.16,   0.12,   0.24,  -0.06,-0.69, 0.72, 0.13
 292.35,   2.07,  -0.06,  -0.06,-0.69, 0.71, 0.14
 306.00,   0.43,   0.12,  -0.12,-0.69, 0.71, 0.14
 319.28,  -0.06,   0.00,   0.00,-0.69, 0.71, 0.14
 333.82,   0.31,  -0.12,   0.31,-0.69, 0.71, 0.13
 345.32,   1.52,   0.37,  -0.37,-0.69, 0.71, 0.14
 358.08,  -0.12,   0.12,   0.67,-0.69, 0.71, 0.14
 369.57,  -0.85,   0.55,  -0.24,-0.69, 0.71, 0.13
 381.81,  -0.49,   0.61,  -0.12,-0.69, 0.71, 0.15
 392.94,   0.49,  -0.18,  -0.12,-0.69, 0.71, 0.15
 402.96,   0.12,  -0.24,   0.24,-0.69, 0.71, 0.14
 412.45,   0.73,   0.00,  -0.43,-0.69, 0.71, 0.14
 421.72,  -0.31,   0.31,   0.06,-0.69, 0.71, 0.16
 428.62,   0.55,  -0.31,  -0.43,-0.69, 0.70, 0.17
 433.37,  -0.06,   0.06,  -0.24,-0.69, 0.71, 0.14
 436.63,  -0.79,   0.06,   0.00,-0.69, 0.71, 0.13
 439.75,   0.18,   0.00,  -0.06,-0.69, 0.71, 0.14
 442.12,   2.20,  -0.18,  -0.18,-0.69, 0.71, 0.15
 443.90,   0.55,  -0.06,  -0.06,-0.69, 0.71, 0.14
 445.46,  -0.92,   0.18,   0.06,-0.69, 0.71, 0.14
