Length,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z
   0.45,  10.86,  -1.77,   3.36,-0.40,-0.31, 0.87
   1.41,   1.34,  -4.03,   5.06,-0.42,-0.31, 0.87
   2.67,   3.78,  -2.13,   2.32,-0.40,-0.33, 0.87
   3.86,  -2.93,   1.16,   2.68,-0.42,-0.36, 0.83
   5.56, -10.61,   4.21,   0.92,-0.43,-0.38, 0.82
   6.97,   0.61,   1.40,  -3.29,-0.42,-0.36, 0.84
   9.72,  -8.60,   4.33,   1.83,-0.41,-0.33, 0.85
  12.76, -17.75,   1.71,   0.92,-0.41,-0.35, 0.82
  16.10,   1.65,   0.06,   3.11,-0.41,-0.33, 0.84
  20.70,   2.13,  -0.73,   3.90,-0.44,-0.35, 0.82
  25.67,   0.06,  -2.93,   0.61,-0.43,-0.36, 0.84
  31.38,  -2.38,   2.07,   2.81,-0.44,-0.35, 0.83
  37.02,  -2.74,  -1.28,  -0.06,-0.44,-0.33, 0.85
  43.47,   1.22,  -0.24,   4.27,-0.43,-0.35, 0.83
  49.92,  -9.33,  -0.43,   1.89,-0.44,-0.36, 0.82
  57.34,  -0.67,   1.22,   4.76,-0.43,-0.34, 0.82
  64.39,   7.69,  -3.23,   4.64,-0.44,-0.34, 0.83
  70.03,  -3.78,   1.22,   4.09,-0.44,-0.34, 0.82
  77.67,  -6.22,   3.96,   1.22,-0.45,-0.35, 0.82
  85.38,  -0.92,   2.13,  -1.16,-0.45,-0.35, 0.83
  93.17,   1.04,   3.23,  -2.13,-0.45,-0.32, 0.84
 101.18,  -7.81,   3.72,  -1.16,-0.47,-0.36, 0.82
 109.71,   1.46,  -0.67,  -4.76,-0.46,-0.35, 0.83
 118.54,   4.03,   1.16,   0.31,-0.45,-0.32, 0.82
 126.70,  -1.40,   1.28,   1.59,-0.47,-0.35, 0.81
 134.71,   1.95,  -4.88,   2.81,-0.49,-0.37, 0.80
 142.21,   7.14,  -6.34,   1.10,-0.47,-0.36, 0.80
 154.82,   3.84,  -1.65,   1.04,-0.45,-0.35, 0.81
 160.31,   1.10,   0.98,  -0.43,-0.47,-0.38, 0.81
 164.16,  -2.38,   3.72,   2.38,-0.47,-0.38, 0.79
 166.39,   6.77,  -2.87,  -0.12,-0.47,-0.34, 0.81
 168.39,   5.37,   2.68,  -0.06,-0.48,-0.35, 0.82
 169.36,   6.34,  -5.31,  -5.06,-0.48,-0.35, 0.80
 169.80,  -6.65,   0.06,  -1.77,-0.47,-0.36, 0.81
 169.88,   4.76,  -2.50,  -4.03,-0.46,-0.33, 0.82
 170.69,   2.93,   5.80,  -1.77,-0.48,-0.38, 0.78
