Length,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z
   0.52,  -2.38,  -0.85,   0.31,-0.68, 0.72, 0.09
   3.71,  -1.34,   0.73,   0.06,-0.68, 0.73, 0.09
   8.75,  -1.34,  -0.43,  -0.12,-0.68, 0.73, 0.09
  16.32,   0.18,   0.06,  -0.24,-0.68, 0.72, 0.10
  22.48,  -0.12,  -0.43,  -0.12,-0.68, 0.72, 0.11
  30.12,  -0.37,  -0.31,   0.12,-0.68, 0.72, 0.11
  38.80,  -0.31,  -0.61,  -0.18,-0.68, 0.72, 0.09
  48.51,   0.06,   0.67,   0.24,-0.68, 0.73, 0.10
  58.83,   0.55,   0.06,  -0.31,-0.68, 0.72, 0.11
  69.14,  -0.92,  -0.85,   0.00,-0.68, 0.72, 0.13
  79.89,  -0.18,   1.59,   0.24,-0.68, 0.73, 0.10
  89.69,   0.37,  -0.06,   0.18,-0.68, 0.72, 0.11
 102.96,  -0.12,   0.24,  -0.24,-0.68, 0.72, 0.10
 115.80,   0.12,  -0.73,   0.24,-0.68, 0.73, 0.10
 126.33,   0.55,   0.85,  -0.06,-0.68, 0.72, 0.11
 141.09,   0.73,   1.04,   0.12,-0.68, 0.72, 0.12
 153.78,   0.61,   0.79,   0.12,-0.68, 0.72, 0.11
 167.58,   0.92,   0.98,  -0.18,-0.68, 0.72, 0.12
 180.86,  -0.55,  -0.18,   0.49,-0.68, 0.72, 0.10
 194.95,   0.24,   0.06,  -0.31,-0.68, 0.73, 0.10
 206.74,  -0.06,  -0.31,   0.37,-0.68, 0.72, 0.11
 222.03,   0.67,  -0.31,  -0.06,-0.68, 0.73, 0.10
 234.27,  -1.52,  -0.18,  -0.43,-0.68, 0.73, 0.12
 247.99,  -0.24,  -0.43,   0.18,-0.68, 0.73, 0.11
 258.38,   0.79,   1.59,  -0.06,-0.68, 0.73, 0.10
 272.02,   0.18,   0.55,   0.31,-0.68, 0.72, 0.11
 285.38,  -0.55,   0.79,   0.06,-0.68, 0.73, 0.11
 298.51,  -0.92,  -0.24,   0.24,-0.68, 0.72, 0.11
 312.82,  -0.18,   0.00,   0.31,-0.68, 0.72, 0.11
 324.84,   0.06,   0.00,  -0.49,-0.68, 0.72, 0.11
 340.12,  -0.85,  -0.37,   0.55,-0.68, 0.72, 0.11
 354.59,   0.18,   0.18,  -0.12,-0.68, 0.73, 0.12
 367.87,   0.06,  -0.37,  -0.55,-0.68, 0.72, 0.12
 380.26,  -1.28,  -0.92,   0.24,-0.69, 0.72, 0.12
 389.83,   0.73,   0.92,   0.06,-0.68, 0.72, 0.13
 400.88,  -0.12,   0.00,   0.18,-0.68, 0.72, 0.11
 411.49,  -0.12,  -0.55,  -0.55,-0.68, 0.72, 0.11
 422.09,  -0.31,   0.43,  -0.06,-0.68, 0.72, 0.13
 428.92,  -0.73,  -0.12,   0.24,-0.68, 0.72, 0.12
 435.74,   0.24,   0.61,  -0.24,-0.68, 0.72, 0.12
 441.16,  -0.31,  -0.06,  -0.12,-0.68, 0.72, 0.13
 444.87,   0.61,  -0.18,   0.06,-0.68, 0.72, 0.13
 446.43,  -2.50,   1.10,   0.31,-0.68, 0.73, 0.11
 446.72,   7.99,   8.36,  -7.14,-0.69, 0.73, 0.12
