Length,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z
   0.52,  -0.18,  -0.79,   1.10,-0.68, 0.72, 0.10
   2.08,  -1.28,   0.37,   0.55,-0.68, 0.73, 0.10
   4.75,  -1.77,   0.06,   0.61,-0.68, 0.72, 0.12
   8.53,   0.43,   0.37,   0.06,-0.69, 0.72, 0.11
  12.98,  -0.37,   0.55,   0.31,-0.68, 0.72, 0.11
  17.43,  -0.31,   0.06,   0.06,-0.68, 0.72, 0.11
  22.40,  -0.43,   0.00,   0.43,-0.68, 0.72, 0.09
  28.34,  -0.55,   0.49,   0.06,-0.68, 0.72, 0.11
  35.24,   0.31,  -0.06,  -0.24,-0.68, 0.72, 0.10
  43.92,  -0.67,   0.31,   0.37,-0.68, 0.72, 0.10
  52.45,   0.06,   0.18,  -0.12,-0.68, 0.72, 0.12
  61.27,   0.73,   0.49,   0.12,-0.68, 0.72, 0.11
  69.73,  -1.04,  -0.49,   0.43,-0.68, 0.72, 0.11
  77.00,   1.10,   0.79,  -0.18,-0.68, 0.72, 0.11
  86.57,   0.24,   0.00,   0.18,-0.68, 0.72, 0.11
  96.44,  -0.24,  -0.49,  -0.49,-0.68, 0.72, 0.11
 106.97,   0.31,   0.31,   0.06,-0.68, 0.72, 0.13
 118.54,   0.98,   0.73,  -0.06,-0.68, 0.72, 0.11
 127.82,   0.12,  -0.18,  -0.06,-0.68, 0.72, 0.11
 137.53,  -0.31,  -0.12,  -0.31,-0.68, 0.72, 0.13
 147.40,   0.92,   0.24,  -0.06,-0.68, 0.72, 0.11
 157.41,  -0.37,   0.24,   0.49,-0.68, 0.72, 0.12
 167.50,   0.98,  -0.06,  -0.49,-0.68, 0.72, 0.11
 177.00,  -0.98,   0.06,   0.43,-0.68, 0.72, 0.11
 188.20,   0.37,   0.43,  -0.18,-0.68, 0.72, 0.13
 199.03,  -0.18,  -1.04,  -0.18,-0.68, 0.72, 0.11
 211.42,   1.95,   0.61,  -0.43,-0.68, 0.73, 0.10
 222.62,   0.61,  -0.12,   0.12,-0.68, 0.72, 0.10
 234.93,  -1.40,   0.67,   0.12,-0.68, 0.72, 0.11
 247.03,  -0.18,  -0.06,   0.73,-0.68, 0.72, 0.10
 260.01,   0.24,  -0.31,  -0.49,-0.68, 0.72, 0.11
 273.21,  -0.24,  -1.59,  -0.92,-0.68, 0.72, 0.11
 285.15,  -0.12,   0.79,   0.24,-0.68, 0.72, 0.11
 299.18,   0.37,   1.40,  -0.12,-0.68, 0.72, 0.12
 310.30,   0.43,  -0.18,   0.24,-0.69, 0.72, 0.12
 322.32,   0.61,   0.37,  -0.37,-0.68, 0.72, 0.12
 333.97,  -0.85,  -0.43,   0.37,-0.68, 0.72, 0.12
 345.76,   0.37,   0.37,  -0.31,-0.69, 0.72, 0.11
 357.93,   0.00,   0.79,   0.37,-0.68, 0.72, 0.10
 370.54,  -0.24,   0.43,   0.00,-0.68, 0.72, 0.11
 382.41,  -0.49,  -0.06,   0.24,-0.68, 0.71, 0.12
 392.72,  -0.24,  -0.12,  -0.43,-0.68, 0.72, 0.12
 404.36,   0.49,   0.18,  -0.37,-0.69, 0.72, 0.13
 413.79,   0.61,  -0.18,  -0.55,-0.68, 0.72, 0.12
 422.39,   0.00,  -0.06,   0.37,-0.69, 0.72, 0.12
 430.03,  -0.06,   0.67,   0.12,-0.68, 0.72, 0.10
 438.93,   0.00,   0.06,  -0.06,-0.68, 0.72, 0.12
 446.57,  -6.77,   8.23,   3.11,-0.67, 0.63, 0.50
