Length,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z
   0.67,   0.67,  -0.24,   0.61,-0.69, 0.72, 0.11
   3.71,  -0.31,  -0.12,  -0.12,-0.69, 0.72, 0.12
   9.42,   0.43,   0.18,   0.00,-0.69, 0.72, 0.11
  16.10,  -0.37,   0.06,   0.00,-0.69, 0.71, 0.13
  33.01,  -0.43,   0.12,  -0.31,-0.69, 0.72, 0.12
  43.10,  -0.67,  -0.49,   0.55,-0.69, 0.72, 0.13
  54.08,   0.18,   0.24,   0.00,-0.69, 0.71, 0.15
  66.32,  -1.16,  -0.61,   0.49,-0.69, 0.71, 0.14
  77.89,  -0.06,   0.06,  -0.31,-0.69, 0.72, 0.13
  90.21,  -0.12,   0.12,   0.12,-0.69, 0.72, 0.12
 103.19,   0.06,   0.49,  -0.18,-0.69, 0.72, 0.13
 114.46,   0.24,  -0.18,   0.49,-0.69, 0.72, 0.13
 129.37,   0.24,   0.00,  -0.06,-0.69, 0.72, 0.13
 144.51,   0.00,   0.12,  -0.12,-0.69, 0.72, 0.12
 159.94,   0.79,   0.12,   0.61,-0.68, 0.71, 0.16
 174.99,   0.55,   0.06,   0.31,-0.69, 0.71, 0.15
 191.24,   0.24,   0.49,  -0.18,-0.69, 0.72, 0.14
 205.93,  -0.18,  -0.18,   0.24,-0.68, 0.71, 0.15
 221.21,   0.31,  -0.18,   0.24,-0.69, 0.72, 0.11
 236.79,   0.43,   0.67,  -0.31,-0.69, 0.71, 0.17
 248.29,   0.73,   0.00,   0.61,-0.69, 0.71, 0.15
 262.53,   0.79,   0.31,  -0.06,-0.69, 0.72, 0.14
 276.70,  -0.61,   0.06,  -0.37,-0.69, 0.72, 0.14
 292.28,   0.12,  -0.24,   0.49,-0.69, 0.72, 0.13
 306.74,   0.31,  -0.06,  -0.18,-0.69, 0.72, 0.14
 321.13,  -1.83,  -0.37,  -0.61,-0.69, 0.71, 0.14
 335.52,  -0.55,  -0.31,   0.49,-0.69, 0.71, 0.16
 349.54,  -0.61,  -0.18,  -0.31,-0.69, 0.72, 0.14
 363.42,  -0.49,   0.00,  -0.49,-0.69, 0.72, 0.14
 374.84,   0.18,   0.43,   0.06,-0.69, 0.72, 0.14
 387.82,  -0.61,   0.37,  -0.31,-0.68, 0.71, 0.15
 399.47,  -0.12,   0.00,   0.24,-0.68, 0.71, 0.14
 409.78,   0.12,   0.37,  -0.24,-0.69, 0.72, 0.13
 419.28,   0.24,   0.12,  -0.18,-0.69, 0.71, 0.16
 426.99,  -0.37,  -0.18,   0.00,-0.69, 0.70, 0.17
 432.55,   0.49,   0.31,  -0.24,-0.69, 0.71, 0.15
 437.60,  -0.49,   0.12,  -0.18,-0.69, 0.71, 0.14
 441.53,  -0.24,   0.06,  -0.06,-0.69, 0.71, 0.16
 443.68,   0.43,   0.18,   0.06,-0.69, 0.72, 0.13
 445.54,  -0.18,  -0.06,   0.00,-0.69, 0.71, 0.14
 446.20,  -0.12,   0.24,  -0.06,-0.69, 0.71, 0.14
 446.28,   0.49,   1.89,  -0.37,-0.68, 0.71, 0.13
 446.35,   0.00,   0.12,   0.06,-0.69, 0.71, 0.14
