Length,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z
   5.64,  -1.95,   2.87,   6.16,-0.40,-0.37, 0.84
   8.75,   5.00,   4.70,   2.68,-0.38,-0.34, 0.85
  11.72,   5.12,   3.23,   0.00,-0.39,-0.32, 0.85
  15.87,  -2.20,   2.99,   4.51,-0.38,-0.29, 0.87
  21.74,   0.55,   4.09,   3.48,-0.42,-0.34, 0.85
  28.49,   4.45,   2.87,  -1.52,-0.41,-0.31, 0.87
  36.42,   5.55,   5.80,  -5.43,-0.44,-0.29, 0.86
  45.10,  14.64,   5.92,  -5.92,-0.42,-0.24, 0.89
  53.93,  -0.92,   9.82,  -5.61,-0.45,-0.27, 0.85
  64.39,  -4.21,   3.84,   1.77,-0.47,-0.30, 0.84
  72.48,  -7.44,   0.06,   1.65,-0.45,-0.30, 0.85
  82.34,  -1.83,  -0.06,   1.34,-0.45,-0.33, 0.83
  91.99,  -8.23,   4.33,   1.10,-0.46,-0.30, 0.83
 111.94,  -7.08,  -5.12,  -2.07,-0.45,-0.33, 0.83
 120.69,  -1.65,  -3.90,  -2.26,-0.45,-0.31, 0.84
 129.08,  -0.49,   2.38,   1.65,-0.45,-0.32, 0.81
 137.53,   9.09,  -1.16,   2.26,-0.45,-0.31, 0.84
 146.73,  10.00,  -0.55,  -0.85,-0.46,-0.34, 0.83
 154.59,   2.74,  -0.18,  -2.62,-0.45,-0.33, 0.84
 159.57,   0.85,   1.89,  -8.97,-0.47,-0.35, 0.82
 162.46,  -3.36,   4.15,  -6.34,-0.47,-0.31, 0.84
 165.28,  -5.00,   0.79,  -7.20,-0.46,-0.37, 0.80
 166.02,  -6.53,  -2.32,  -4.09,-0.45,-0.36, 0.81
 166.98,   3.78,  -3.42,  -1.89,-0.45,-0.34, 0.83
 168.84,   0.73,  -1.52,   3.78,-0.46,-0.36, 0.83
 169.06,   0.67,   0.37,   3.66,-0.46,-0.32, 0.84
 169.95,  -1.77,  -0.79,  -1.46,-0.46,-0.34, 0.82
 170.40,  -1.52,   0.06,   0.37,-0.45,-0.33, 0.82
 170.47,  -0.18,   1.04,   0.92,-0.47,-0.31, 0.83
 170.54,  -5.80,   1.28,  -0.37,-0.47,-0.30, 0.83
 171.51,  15.92,  -1.16,  56.24,-0.30,-0.38, 0.67
 171.58,  38.86,   5.18,  13.60,-0.33,-0.14, 0.97
