Length,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z
   0.52,  -0.67,   0.12,   0.12,-0.69, 0.72, 0.11
   2.08,  -2.01,   1.34,   0.49,-0.69, 0.72, 0.10
   5.34,  -1.77,   1.22,   0.49,-0.69, 0.72, 0.11
   9.87,  -1.71,   0.06,  -0.12,-0.69, 0.72, 0.11
  14.91,  -0.85,   0.55,  -0.06,-0.69, 0.72, 0.11
  20.70,   0.49,   0.12,  -0.12,-0.69, 0.72, 0.11
  27.67,  -0.61,  -0.49,   0.00,-0.69, 0.72, 0.12
  34.94,   0.00,   0.92,   0.12,-0.69, 0.72, 0.10
  42.65,   0.00,   0.00,  -0.18,-0.69, 0.71, 0.11
  52.15,   0.73,   1.28,   0.61,-0.69, 0.72, 0.11
  62.16,   0.49,   0.31,  -0.06,-0.69, 0.72, 0.11
  72.55,   0.06,  -1.83,  -0.12,-0.69, 0.72, 0.11
  82.94,  -0.18,   1.40,   0.06,-0.69, 0.72, 0.12
  93.69,  -0.18,  -0.55,   0.12,-0.69, 0.72, 0.12
 105.04,   0.79,   0.43,  -0.37,-0.69, 0.72, 0.12
 117.36,   0.37,  -1.71,  -0.24,-0.69, 0.72, 0.11
 129.82,   0.67,  -0.85,  -0.37,-0.69, 0.71, 0.12
 142.73,   1.04,   1.65,   0.24,-0.69, 0.72, 0.10
 155.26,  -0.24,   0.92,   0.12,-0.69, 0.72, 0.10
 169.28,   0.43,   0.55,   0.12,-0.69, 0.72, 0.10
 183.53,  -0.37,  -0.79,   0.43,-0.69, 0.72, 0.10
 198.29,   0.37,   0.49,  -0.18,-0.69, 0.72, 0.12
 212.98,   0.24,  -0.43,  -0.12,-0.69, 0.71, 0.11
 228.55,  -1.83,   0.49,   0.43,-0.69, 0.72, 0.13
 243.98,  -0.85,   0.85,   0.06,-0.69, 0.72, 0.13
 256.89,  -0.67,   0.18,   0.55,-0.69, 0.71, 0.12
 267.50,   0.18,   0.12,  -0.24,-0.69, 0.72, 0.12
 280.48,  -0.49,  -1.59,  -0.73,-0.69, 0.72, 0.13
 293.31,  -0.61,  -0.61,  -0.24,-0.69, 0.72, 0.11
 306.22,   0.37,   1.46,  -0.31,-0.69, 0.72, 0.12
 319.80,   0.55,   0.92,   0.12,-0.69, 0.71, 0.11
 335.01,   0.55,   1.22,   0.18,-0.69, 0.72, 0.11
 347.84,   0.55,   0.67,   0.18,-0.69, 0.71, 0.12
 362.45,   0.49,  -0.67,   0.24,-0.69, 0.71, 0.11
 376.62,   0.24,   0.31,  -0.18,-0.69, 0.72, 0.12
 390.12,  -0.73,   0.12,   0.24,-0.69, 0.71, 0.13
 401.69,   0.12,   0.55,  -0.18,-0.69, 0.72, 0.13
 413.42,   0.18,  -1.46,  -0.85,-0.69, 0.71, 0.13
 423.87,   0.31,   1.04,   0.00,-0.69, 0.71, 0.14
 431.74,   1.52,  -0.67,  -0.12,-0.69, 0.71, 0.14
 437.82,  -0.67,   2.01,   0.31,-0.69, 0.72, 0.11
 443.68,  -0.43,  -0.06,  -0.18,-0.69, 0.71, 0.12
